title,cluster,description,keywords
2014 Sewer System Report,11,Additonal 2014 financial information,"information, standards, documents, city, master, required"
2014 Sewer Audited Financial Statements,0,Audited Financial Statements for Sewer,"audit, audit, focus, city, 's, management"
Approved_City_Plan_Commission_Minutes_1-06-15,3,Approved_City_Plan_Commission_Minutes_1-06-15,"downgrade, lists, april, presentation, public, group"
Approved_City_Plan_Commission_Minutes_12-16-14,3,Approved_City_Plan_Commission_Minutes_12-16-14,"downgrade, lists, april, presentation, public, group"
2014 Water System report,11,Additional 2014 financial information,"information, standards, documents, city, master, required"
2014 Water Audited Financial Statements,22,FY 2013-2014 Audited Financial Statement for Water,"fy, reports, audit, water, budget, annual"
The Quarterly newsletter Volume 5 Issue 4,33,"Kansas City, Missouri Ryan White Planning Council newsletter ""The Quarterly"" Volume 5 Issue 4","city, kansas, kansas, city, kansas, missouri"
ADA Ramp Installations 2014-2015,6,A list of ADA ramps replaced in 2014 and those planned for 2015,"plan, developer, focus, city, neighborhood, street"
2015 Action Plan Funding Allocations,6,2015 Action Plan funding allocations approved by Council per Resolution No. 141095,"plan, developer, focus, city, neighborhood, street"
2015 One Year Action Plan and Substantial Amendment to the Five Year Consolidated Action Plan,6,2015 One Year Action Plan submission approval and Substantial Amendment to the Five Year Consolidated Action Plan approved by City Council through approval of Resolution 141095,"plan, developer, focus, city, neighborhood, street"
Approved_Minutes_of_the_Board_and_Zoning_Adjustment_11-25-14,3,Approved_Minutes_of_the_Board_and_Zoning_Adjustment_11-25-14,"downgrade, lists, april, presentation, public, group"
2014 Appendix C,33,2014 Information Concerning the City of Kansas City Missouri Report,"city, kansas, kansas, city, kansas, missouri"
2014 City CAFR,22,FY 2013-2014 City CAFR,"fy, reports, audit, water, budget, annual"
2014 Aviation CAFR,22,FY 2013-2014 Aviation CAFR,"fy, reports, audit, water, budget, annual"
FY 2014-15 M/WBE Primes and Subcontractors' Contracts Awarded Detailed Monthly Report (through November 2014),22,"M/WBE Primes and Subcontractors' Contracts Awarded
FY 2014-15 Detail Report
May 2014 through Year-To-Month (thru November 2014)","fy, reports, audit, water, budget, annual"
Construction Workforce Report - October 2014,16,October 2014 Construction Workforce Detail Report,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report - September 2014,16,September 2014 Construction Workforce Detail Report,"reports, assessments, neighborhood, construction, annual, work"
Construction Workforce Report - August 2014,16,August 2014 Construction Workforce Detail Report,"reports, assessments, neighborhood, construction, annual, work"
MWDBE 2015 Pre- Certification Workshop Schedule,3,"Minority, Women and Disadvantaged Business Enterprise","downgrade, lists, april, presentation, public, group"
SLBE 2015 Workshop Schedule,3,Small Local Business Enterprise Program,"downgrade, lists, april, presentation, public, group"
Street Maintenance Funding Policy,26,Street Maintenance Funding Policy,"policy, administrative, code, street, construction, master"
Revenue Policy,26,Revenue Policy,"policy, administrative, code, street, construction, master"
Investment Policy,26,Investment Policy,"policy, administrative, code, street, construction, master"
Fund Balance And Reserve Policy,26,Fund Balance And Reserve Policy,"policy, administrative, code, street, construction, master"
Debt Policy,26,Debt Policy,"policy, administrative, code, street, construction, master"
Budget Transfer Policy,14,Budget Transfer Policy,"budget, policy, 's, year, code, plan"
November 2014 Report,16,November 2014 Financial Report,"reports, assessments, neighborhood, construction, annual, work"
Structurally Balanced Budget  Policy As Codified In The Code Of Ordinances,14,Structurally Balanced Budget  Policy As Codified In The Code Of Ordinances,"budget, policy, 's, year, code, plan"
FY14 A-133 Final,16,Independent Auditor’s Report on Internal Control Over Financial Reporting and on Compliance and Other Matters Based on an Audit of the Financial Statements Performed in Accordance with Government Auditing Standards,"reports, assessments, neighborhood, construction, annual, work"
FY 2013-2014 Popular Annual Financial Report - PAFR,22,FY 2013-2014 Popular Annual Financial Report - PAFR,"fy, reports, audit, water, budget, annual"
FY 2013-2014 Comprehensive Annual Financial Report - CAFR,22,FY 2013-2014 Comprehensive Annual Financial Report - CAFR,"fy, reports, audit, water, budget, annual"
KCPD Crime Data 2015,11,"This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri. The displayed information is the most current information from the data source as of the date of upload. The data source is dynamic and therefore constantly changing. Changes to the information may occur, as incident information is refined. While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided. The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood. In no event shall the Board be liable in any way to the users of this data. Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.","information, standards, documents, city, master, required"
Semi- Annual Docket. Jan.2015,3,Semi- Annual Docket. Jan.2015,"downgrade, lists, april, presentation, public, group"
Structurally Balanced Budget  Policy As Codified In The Code Of Ordinances,14,"Structurally Balanced, Budget,  Policy, Codified in the Code, Ordinances","budget, policy, 's, year, code, plan"
Special Obligation Series 2009 A (909 Walnut Notice Of Redemption 020115),21,Notice of Redemption on Special Oblig. Series 2009A (909 Walnut Project) occuring on 02-01-2015,"obligation, special, b, notice, downgrade, defeasance"
Results_of_City_Plan_Commission_Meeting_12-16-14,3,Results_of_City_Plan_Commission_Meeting_12-16-14,"downgrade, lists, april, presentation, public, group"
KCMO Air Quality Construction Permit Application,33,"Kansas City, Missouri, Health Department's Air Quality Construction Permit Application","city, kansas, kansas, city, kansas, missouri"
2014 Action Plan Amendment 3,6,2014 Action Plan Amendment 3,"plan, developer, focus, city, neighborhood, street"
Convention and Tourism Tax Regulations,3,Convention and Tourism Tax Regulations,"downgrade, lists, april, presentation, public, group"
Fifth District Council - Application 2015,18,Fifth District Council - Application 2015,"application, program, street, plan, commission, city"
Application For Tow Truck Operator Certification,20,"Application to become a certified tow truck operator within the city limits of Kansas City, Mo. Certification overseen by the Regulated Industries division on behalf of the Tow Services division of the Neighborhoods and Housing Services Department.","city, kansas, mo, city, city, city"
Application For Temporary Employee Liquor Permit,20,"Application to become a licensed employee able to serve or sell alcohol, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.","city, kansas, mo, city, city, city"
Application For Sidewalk Café,20,"Application to become a licensed sidewalk café, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.","city, kansas, mo, city, city, city"
Application For Catering Permit - City Market,20,"Application to become a licensed caterer able to serve alcohol at the City Market, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.","city, kansas, mo, city, city, city"
Application For Non-Profit Vehicle-for-Hire Driver,20,"Application to become a licensed driver of a vehicle-for-hire such as a taxicab, pedicab, or animal-driven sightseeing vehicle, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.","city, kansas, mo, city, city, city"
September 2014 Report 1,16,September 2014 Report 1,"reports, assessments, neighborhood, construction, annual, work"
August 2014 Report,16,August 2014 Financial Report,"reports, assessments, neighborhood, construction, annual, work"
20141217 City's Performance Under the HUD Memorandum of Agreement,0,This audit focuses on whether the Neighborhoods and Housing Services Department fulfilled the city's contractual obligations under the MOA from April 2013 to April 2014.,"audit, audit, focus, city, 's, management"
20141217 City's Performance Under the HUD Memorandum of Agreement Highlights,0,This audit focuses on whether the Neighborhoods and Housing Services Department fulfilled the city's contractual obligations under the MOA from April 2013 to April 2014.,"audit, audit, focus, city, 's, management"
Food Permit Fees 2015,33,"Kansas City, Missouri, Health Department's food permit fees","city, kansas, kansas, city, kansas, missouri"
October 2014 Report,16,October 2014 Report,"reports, assessments, neighborhood, construction, annual, work"
Approved_City_Plan_Commission_Minutes_11-18-14,3,Approved_City_Plan_Commission_Minutes_11-18-14,"downgrade, lists, april, presentation, public, group"
HRD MWBE Annual Report 2013,16,Human Relations Department Minority Women Business Enterprise Annual Report 2013,"reports, assessments, neighborhood, construction, annual, work"
HRD MWBE Annual Report 2014,16,Human Relations Department Minority Women Business Enterprise Annual Report 2014,"reports, assessments, neighborhood, construction, annual, work"
Approved_Board_of_Zoning_Adjustment_Results_12-9-14,3,Approved_Board_of_Zoning_Adjustment_Results_12-9-14,"downgrade, lists, april, presentation, public, group"
How To Enter A Contract ( PS 2260) 9.1,3,How To Enter A Contract,"downgrade, lists, april, presentation, public, group"
How To Create An E Pro Req ( PS 2254) 9.1,3,How To Create An E Pro Req,"downgrade, lists, april, presentation, public, group"
How To Create A Receiver ( PS 2268) 9.1,3,How To Create A Receiver,"downgrade, lists, april, presentation, public, group"
How To Create A PO( E) ( PS 2266) 9.1,3,How To Create A PO( E),"downgrade, lists, april, presentation, public, group"
KCMO ARTS CONVERGENCE FINAL PLAN,6,KCMO Arts Convergence is a long-term master plan for the City and its community partners. The primary objective of this planning effort was to identify an appropriate role for the municipality in cultural development.,"plan, developer, focus, city, neighborhood, street"
Lodging Ordinance,33,"Kansas City, Missouri's lodging ordinance","city, kansas, kansas, city, kansas, missouri"
Lodging Fee Schedule,33,"Kansas City, Missouri Health Department's Environmental Public Health Program's lodging permit fees","city, kansas, kansas, city, kansas, missouri"
Lodging Application 2014,33,"Kansas City, Missouri, Health Department lodging permit application 2014","city, kansas, kansas, city, kansas, missouri"
Fact Sheet 120914,15,"Overview of proposed traffic sign changes submitted for review on December 9, 2014","proposals, sign, traffic, review, change, april"
Installations 120914,15,"Proposed traffic sign installations presented for consideration on December 9, 2014","proposals, sign, traffic, review, change, april"
Removals 120914,15,"Proposed traffic sign removals submitted for review on December 9, 2014.","proposals, sign, traffic, review, change, april"
Downgrade of Letter of Credit Provider Sumitomo debt rating,3,"Letter of Credit provider, Sumitomo, downgraded in Moody's from Aa3 to A1","downgrade, lists, april, presentation, public, group"
Truman Medical Center Report - 2013,16,"Performance Review for Truman Medical Center Consultants Report April 30, 2013","reports, assessments, neighborhood, construction, annual, work"
Samuel U. Rodgers Health Center Report - 2013,16,"Performance Review for Samuel U. Rodgers Health Center Consultants Report April 30, 2013","reports, assessments, neighborhood, construction, annual, work"
KC Care Clinic Report - 2013,2,"Performance Review for Kansas City CARE Clinic - Consultants Report April 30, 2013","city, review, april, year, annual, city"
CALENDAR 2015,3,Payroll Calendar 2015,"downgrade, lists, april, presentation, public, group"
CALENDAR 2015 H,3,"Payroll, Calendar, Holiday","downgrade, lists, april, presentation, public, group"
Results_of_City_Plan_Commission_12-02-14,3,Results_of_City_Plan_Commission_12-02-14,"downgrade, lists, april, presentation, public, group"
Administrator Of The Municipal Court,7,Job Specifications for Administrator Of The Municipal Court,"job, job, specifically, management, assisted, office"
Administrative Secretary To City Council,7,Job Specifications for Administrative Secretary To City Council,"job, job, specifically, management, assisted, office"
Administrative Secretary,7,Job Specifications for Administrative Secretary,"job, job, specifically, management, assisted, office"
Administrative Officer,7,Job Specifications for Administrative Officer,"job, job, specifically, management, assisted, office"
Administrative Assistant,7,Job Specifications for Administrative Assistant,"job, job, specifically, management, assisted, office"
Administrative Assistant To The Judges,7,Job Specifications for Administrative Assistant To The Judges,"job, job, specifically, management, assisted, office"
Acquisition Specialist,7,Job Specifications for Acquisition Specialist,"job, job, specifically, management, assisted, office"
Accounting Clerk,7,Job Specifications for Accounting Clerk,"job, job, specifically, management, assisted, office"
Accountant,7,Job Specifications for Accountant,"job, job, specifically, management, assisted, office"
Accountant II,7,Job Specifications for Account II,"job, job, specifically, management, assisted, office"
Approved_Minutes_of_The_Board_of_Zoning_Adjustment_11-28-14,3,Approved_Minutes_of_The_Board_of_Zoning_Adjustment_11-28-14,"downgrade, lists, april, presentation, public, group"
Approved_Minutes_of_the_Board_of_Zoning_Adjustment_10-14-14,3,Approved_Minutes_of_the_Board_of_Zoning_Adjustment_10-14-14,"downgrade, lists, april, presentation, public, group"
How To Request Approval Of A Rezoning,6,How to request approval of a rezoning application to the City Plan Commission development plan.,"plan, developer, focus, city, neighborhood, street"
2013 Action Plan Amendment 6,6,2013 Action Plan Amendment 6,"plan, developer, focus, city, neighborhood, street"
Approved_City_Plan_Commission_Minutes.11-04-14,3,Approved_City_Plan_Commission_Minutes.11-04-14,"downgrade, lists, april, presentation, public, group"
Long Term Solid Waste Strategic Management Plan,31,Solid Waste management process information,"process, master, developer, land, program, permit"
Results_of_Board_of_Zoning_Adjustment_11-25-14,3,Results_of_Board_of_Zoning_Adjustment_11-25-14,"downgrade, lists, april, presentation, public, group"
"Agenda - December 5, 2014",32,"December 5, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
Hearing Schedule 2015,32,2014 Hearing Schedule for the Historic Preservation Commission,"historic, preservation, historic, preservation, historic, commission"
2012 Action Plan Amendment 6,6,2012 Action Plan Amendment 6,"plan, developer, focus, city, neighborhood, street"
2015 Citizen Participation Plan and Request for Proposals Guide,6,2015 Citizen Participation Plan and Request for Proposals Guide,"plan, developer, focus, city, neighborhood, street"
Results_of_City_Plan_Commission_11-18-14,3,Results_of_City_Plan_Commission_11-18-14,"downgrade, lists, april, presentation, public, group"
DBE Official Questions and Answers 49 CFR Part 26,3,Official Questions and Answers (Q&A's) Disadvantaged Business Enterprise Program Regulation (49 CFR 26),"downgrade, lists, april, presentation, public, group"
Approved_Minutes_of_City_Plan_Commission_Meeting_of_10-21-14,3,Approved_Minutes_of_City_Plan_Commission_Meeting_of_10-21-14,"downgrade, lists, april, presentation, public, group"
American Royal And Sporting Club West Bottoms Presentation - 11-12-2014,3,Presentation title: The American Royal and Sporting Club - The Catalyst for West Bottoms Redevelopment presentation,"downgrade, lists, april, presentation, public, group"
Historic Kansas City Foundation Keep Kemper Presentation Nov 13 2014,33,Historic Kansas City Foundation Keep Kemper Presentation Nov 13 2014,"city, kansas, kansas, city, kansas, missouri"
West Bottoms - Kemper Arena Overview Presentation to City Council 11-13-14,3,West Bottoms - Kemper Arena Overview Presentation to City Council 11-13-14,"downgrade, lists, april, presentation, public, group"
20141112 Kansas City Regional Police Academy Highlights,0,This audit focused on whether KCPD established fees and charges which include all costs of providing services at the Police Academy.,"audit, audit, focus, city, 's, management"
20141112  Kansas City Regional Police Academy: Are All Costs Included in Academy Fees?,0,This audit focused on whether KCPD established fees and charges which include all costs of providing services at the Police Academy.,"audit, audit, focus, city, 's, management"
2015 ETHICS COMMISSION ELECTION GUIDE,3,2015 ETHICS COMMISSION ELECTION GUIDE,"downgrade, lists, april, presentation, public, group"
Results_of_City_Plan_Commission_11-04-14,3,Results_of_City_Plan_Commission_11-04-14,"downgrade, lists, april, presentation, public, group"
Removals 110514,15,"Proposed traffic sign removals submitted for review on November 5, 2014.","proposals, sign, traffic, review, change, april"
Installation 110514,15,"Proposed traffic sign installations submitted for review on November 5, 2014.","proposals, sign, traffic, review, change, april"
Fact Sheet 110514,3,"Fact Sheet for traffic regulation changes submitted on November 5, 2014.","downgrade, lists, april, presentation, public, group"
Approved_Minutes_of_City_Plan_Commission_Meeting_of_10-7-14,3,Approved_Minutes_of_City_Plan_Commission_Meeting_of_10-7-14,"downgrade, lists, april, presentation, public, group"
2014 Action Plan Amendment 1,6,2014 Action Plan Amendment 1,"plan, developer, focus, city, neighborhood, street"
Procurement Procedures Manual 082807,3,Procurement Procedures Manual 082807,"downgrade, lists, april, presentation, public, group"
Substantial Amendment Number 2 to the 2014 One Year Action Plan,3,"Approving Substantial Amendment Number 2 to the 2014 One Year Action Plan approving borrowing $2.950,000 for the Seven Oaks Replacement Housing Project through Section 108 of the Housing and Community Development Act","downgrade, lists, april, presentation, public, group"
Results_of_Board_of_Zoninng_Adjustment_10-28-14,25,Board of Zoning Adjustment Results from 10/28/14 meeting date,"meeting, minutes, agenda, group, public, presentation"
Important Notices,18,Notices to Applicants,"application, program, street, plan, commission, city"
How-to-determine-bridge-length,19,How-to-determine-bridge-length for SI&A Coding,"code, rehabilitation, buildings, developer, results, commission"
SI&amp; A FORM,13,Example Structure Inventory and Appraisal Form,"form, application, plan, permit, developer, neighborhood"
2013 FTMS - 7-29-14- Revised,22,Financial Trends Monitoring System for FY 2013,"fy, reports, audit, water, budget, annual"
RESULTS OF CITY PLAN COMMISSION 10-21-14,6,Results of City Plan Commission 10-21-14,"plan, developer, focus, city, neighborhood, street"
Municipal Farm Sustainable Reuse Plan (Food Hub Highlights),6,Sustainable Reuse Plan for Municipal Farm.  Sections pertaining to Food Hub and Food Systems are highlighted by Adobe Acrobat bookmarks.,"plan, developer, focus, city, neighborhood, street"
FOCUS Complete Plan Text,33,FOCUS Kansas City Plan Complete Text,"city, kansas, kansas, city, kansas, missouri"
FOCUS Building Blocks,33,FOCUS Kansas City Plan Building Blocks,"city, kansas, kansas, city, kansas, missouri"
"Civic Council - Budget Planning Forum - October 23, 2014",14,"Civic Council - Budget Planning Forum - October 23, 2014","budget, policy, 's, year, code, plan"
"Citizen Work Sessions 3 October 11, 2014",3,"Citizen Work Sessions 3 October 11, 2014","downgrade, lists, april, presentation, public, group"
"Citizen Work Sessions 2 October 1, 2014",3,"Citizen Work Sessions 2 October 1, 2014","downgrade, lists, april, presentation, public, group"
Citizens Work Session Final Report 2014,16,Citizens Work Session Final Report 2014,"reports, assessments, neighborhood, construction, annual, work"
"Historic Preservation Commission Minutes - August 6, 2014",32,"Approved minutes from the August 6, 2014 hearing of the Historic Preservation Commission.","historic, preservation, historic, preservation, historic, commission"
"Agenda - October 24, 2014",32,"October 24, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
KCMOre Fall2014_Web,3,"KCMOre Fall 2014 web version, spreads","downgrade, lists, april, presentation, public, group"
Building Codes Interpretations,19,Interpretations remain valid for subsequent editions of the code provided that the interpreted text has not changed in the subsequent code. Interpretations remain valid unless revised or revoked.,"code, rehabilitation, buildings, developer, results, commission"
311 Call Center Service Requests Survey Data,3,Updated daily,"downgrade, lists, april, presentation, public, group"
Main Street Special Review District Main Street SRD Application,18,Main Street Special Review District Main Street SRD Application,"application, program, street, plan, commission, city"
Independence Avenue East Special Review District Application,18,Independence Avenue East Special Review District Application,"application, program, street, plan, commission, city"
Independence Avenue West Special Review District Application,18,Independence Avenue West Special Review District Application,"application, program, street, plan, commission, city"
Main Street Special Review District Landscape Maintenance Agreement,3,Main Street Special Review District Landscape Maintenance Agreement,"downgrade, lists, april, presentation, public, group"
Main Street Special Review District Expedited Sign Permit,24,Main Street Special Review District Expedited Sign Permit,"permit, buildings, new, application, construction, required"
Main Street Special Review District Expedited Banner Sign Permit,24,Main Street Special Review District Expedited Banner Sign Permit,"permit, buildings, new, application, construction, required"
Main Street Special Review District Expedited Awning Permit,24,Main Street Special Review District Expedited Awning Permit,"permit, buildings, new, application, construction, required"
HAZARD SPECIFIC RESPONSE PLAN 3 THUNDERSTORM & TORNADO,6,LEOP-HAZARD SPECIFIC RESPONSE PLAN 3 THUNDERSTORM & TORNADO,"plan, developer, focus, city, neighborhood, street"
HAZARD SPECIFIC RESPONSE PLAN 2 HEAT OPERATIONS,6,LEOP-HAZARD SPECIFIC RESPONSE PLAN 2 HEAT OPERATIONS,"plan, developer, focus, city, neighborhood, street"
HAZARD SPECIFIC RESPONSE PLAN 1 FLOOD OPERATIONS,6,LEOP-HAZARD SPECIFIC RESPONSE PLAN 1 FLOOD OPERATIONS,"plan, developer, focus, city, neighborhood, street"
ANNEX R DEBRIS MANAGEMENT,3,LEOP ANNEX R DEBRIS MANAGEMENT,"downgrade, lists, april, presentation, public, group"
ANNEX Q EMERGENCY PET SERVICES,3,LEOP ANNEX Q EMERGENCY PET SERVICES,"downgrade, lists, april, presentation, public, group"
ANNEX O CATASTROPHIC INCIDENT,3,LEOP ANNEX O CATASTROPHIC INCIDENT,"downgrade, lists, april, presentation, public, group"
ANNEX N TERRORISM,3,LEOP ANNEX N TERRORISM,"downgrade, lists, april, presentation, public, group"
ANNEX M HEALTH AND MEDICAL,3,LEOP ANNEX M HEALTH AND MEDICAL,"downgrade, lists, april, presentation, public, group"
ANNEX L MASS CARE AND SHELTERING,3,LEOP ANNEX L MASS CARE AND SHELTERING,"downgrade, lists, april, presentation, public, group"
ANNEX K SHELTER IN PLACE,3,LEOP ANNEX K SHELTER IN PLACE,"downgrade, lists, april, presentation, public, group"
ANNEX J EVACUATION AND TRANSPORTATION,3,LEOP ANNEX J EVACUATION AND TRANSPORTATION,"downgrade, lists, april, presentation, public, group"
ANNEX I INFRASTRUCTURE,3,LEOP ANNEX I INFRASTRUCTURE,"downgrade, lists, april, presentation, public, group"
ANNEX H HAZARDOUS MATERIALS,3,LEOP ANNEX H HAZARDOUS MATERIALS,"downgrade, lists, april, presentation, public, group"
ANNEX G RESOURCE MANAGEMENT,3,LEOP ANNEX G RESOURCE MANAGEMENT,"downgrade, lists, april, presentation, public, group"
"ANNEX F FIRE, RESCUE, EMS, AND HAZMAT",3,"LEOP ANNEX F FIRE, RESCUE, EMS, AND HAZMAT","downgrade, lists, april, presentation, public, group"
Annex E - Law Enforcement,3,LEOP Annex E - Law Enforcement,"downgrade, lists, april, presentation, public, group"
Annex D Damage Assessment,3,LEOP Annex D - Damage Assessment,"downgrade, lists, april, presentation, public, group"
TIF 2004 Blue Parkway Notice Of Full Redemption,9,TIF 2004 Blue Parkway Notice Of Full Redemption,"notice, redemption, notice, defeasance, b, water"
LEOP Annex C Public Information & Warning,11,LEOP Annex C Public Information & Warning,"information, standards, documents, city, master, required"
LEOP Annex B Emergency Communications,6,Emergency Communications Plan,"plan, developer, focus, city, neighborhood, street"
LEOP Annex A Direction & Control,3,"Annex A - ""Direction and Control""","downgrade, lists, april, presentation, public, group"
LEOP Base Plan,6,"The ""Base"" LEOP. Basic plan, responsibilities. Not incident specific.","plan, developer, focus, city, neighborhood, street"
LEOP Promulgation Statement,11,Legal document accepting the LEOP into record,"information, standards, documents, city, master, required"
2014 LEOP Preface,6,"2014 LEOP cover, preface, table of terms, plans crosswalk.","plan, developer, focus, city, neighborhood, street"
KCMO Storm Sirens,29,Map and list of KCMO Tornado Warning Sirens,"kcmo, census, data, reports, map, department’s"
"Agenda - September 26, 2014",32,"September 26, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - August 22, 2014",32,"August 22, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - August 6, 2014",32,"August 6, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - July 25, 2014",32,"July 25, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - June 27, 2014",32,"June 27, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - June 13, 2014",32,"June 13, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - May 30, 2014",32,"May 30, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - April 25, 2014",32,"Apri; 25, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - March 28, 2014",32,"March 28, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
"Agenda - February 28, 2014",32,"February 28, 2014 Agenda for the Historic Preservation Commission","historic, preservation, historic, preservation, historic, commission"
Citywide Business Plan 2015-2020,33,"The City Council of the City of Kansas City, Missouri has adopted goal statements to guide the budget process and to ensure clearly communicated priorities. The Council’s goals encompass the following major categories: Customer Service; Finance and Governance; Infrastructure and Transportation; Neighborhoods and Healthy Communities; Planning, Zoning, and Economic Development; and Public Safety. This second annual Citywide Business Plan will serve as the overall road map for funding the City’s priorities during the next five fiscal years ending April 30, 2015-2020.","city, kansas, kansas, city, kansas, missouri"
FY2013 Financial Trends Monitoring System 5-15-14,3,FY2013 Financial Trends Monitoring System 5-15-14,"downgrade, lists, april, presentation, public, group"
Installations 090814,15,Proposed traffic sign installations dated 090814,"proposals, sign, traffic, review, change, april"
Removals 090814,15,Proposed traffic sign removals dated 090814,"proposals, sign, traffic, review, change, april"
Fact Sheet 090814,15,Overview of proposed changes to traffic ordinances dated 090814,"proposals, sign, traffic, review, change, april"
Removals 081814,15,Proposed traffic sign removals submitted 081418,"proposals, sign, traffic, review, change, april"
Fact Sheet 081814,3,"Traffic change fact sheet submitted August 18, 2014","downgrade, lists, april, presentation, public, group"
Removals 081814,15,"Proposed traffic sign removals submitted on August 18, 2014","proposals, sign, traffic, review, change, april"
KCMO Operational Parking Assessment Final Report,29,Assessment of parking policy for KCMO,"kcmo, census, data, reports, map, department’s"
Active Project List City Plan Commission,18,"City Plan Commission received upcoming zoning development applications, agenda","application, program, street, plan, commission, city"
MI 3-28 Records Management Instructions,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 6-06 Automated Clearinghouse ( ACH),26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 6-05 Endorsement Of Checks For Deposit,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 6-04 Notification Of Treasurer Of Bank Deposits,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-34 Receiving Goods,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-30 Documentation Requirements,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-29 ACH Payments,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-28 Accounts Payable Check Handling Procedures,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-27 Accounts Receivable,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-25 System - Security And Approvals,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-22 Accounts Payable Encumbrances,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-21 Accounts Payable Payment Documents Review,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-20 Wire Transfers,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-13 Accounting And Budgeting For Building And Construction Project Expenditures,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-10 Identification Of City- Owned Vehicles,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-08 Certifications On Invoices To The Federal Government,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-04 Fixed Asset And Property Accounting System,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-03a Sample Encumbrance Form,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-03 Preparation Of Encumbrance Form,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
MI 2-02 Contracts,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
1-01 Manual Of Instruction System,26,Exhibit for FTA grant administration policy,"policy, administrative, code, street, construction, master"
July 2014  Monthly Financial Report,16,July 2014  Monthly Financial Report,"reports, assessments, neighborhood, construction, annual, work"
Parade Application 2014,3,New parade application with change in fee,"downgrade, lists, april, presentation, public, group"
Approved Concrete Plant List 092014,3,Approved Ready Mix Concrete Plants,"downgrade, lists, april, presentation, public, group"
Closing Your Pool For The Season,33,"10 General steps to closing your pool at the end of the season, from the Kansas City, Missouri Health Department's Environmental Public Health Program","city, kansas, kansas, city, kansas, missouri"
Fitch  2005 C Airport Bond Upgrade 9-10-14,27,Fitch  2005 C Airport Bond Upgrade 9-10-14,"bonds, notice, defeasance, water, master, downgrade"
City Planning Department Analysis - Zucker Report Draft Implementation Matrix,6,City Planning Department Analysis - Zucker Report Draft Implementation Matrix,"plan, developer, focus, city, neighborhood, street"
Active Project List Board Of Zoning Adjustment,3,"docket, agenda, board of zoning adjustment, variance","downgrade, lists, april, presentation, public, group"
