title,cluster,description,keywords
ETS Bus Schedule GTFS Data Feed - zipped files,4,Data made available for developers to use in the development of transit information,"edmonton, city, developer, 's, data, dataset"
24 Hour Rainfall Totals and Storm Severity Ratings,7,"Rainfall is measured to assess storms and their effects on flooding and sewer performance and design. 

Rainfall location color icons indicate rainfall totals and maximum storm rating during the past 24 hours. Data is sent once 2mm is accumulated in each gauge, so timing will vary.

Website is updated every 15 minutes . Higher storm ratings and rainfall totals may have occurred if a storm lasts more than 24h. Storm ratings and rainfall are based on data at the gauge location only - nearby areas may experience differing conditions due to variability of rainstorms.

Rainfall is measured between May and October; snowfall is not measured.","measures, graffiti, rainfall, performance, performance, perceptions"
Commercial Vehicle Enforcement Unit - Edmonton Insight Community,2,"This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Bike Lane Funding - Edmonton Insight Community,2,"This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Edmonton Public Library Usage - Edmonton Insight Community,2,"This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Parks Communication - Edmonton Insight Community,2,"This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Mobile City Hall - Edmonton Insight Community,2,"This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Summer Events - Edmonton Insight Community,2,"This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Ad Awareness Survey - Edmonton Insight Community,2,"This was one single topic among many as part of the second October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=128&t=1. Open from Oct 20 - 26, 2014. At the time the survey was launched survey invitations were sent to 1761 Insight Community Members. 896 members completed the survey which represents a completion rate of 51%. A total of 928 respondents completed the survey: 896 Insight Community Members and 32 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
On Street Parking - Edmonton Insight Community,2,"This was one single topic among many as part of the October Mixed Topic survey. 
Test link to view these questions only: 
https://www.edmontoninsightcommunity.ca/R.aspx?a=215&t=1
Open from Oct 14 - 21, 2014 
At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%.
A total of 1146 Edmontonians completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info","survey, members, completed, insight, insight, community"
Illegal Cabs - Edmonton Insight Community,2,"This was one single topic among many as part of the second October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=128&t=1. Open from Oct 20 - 26, 2014. At the time the survey was launched survey invitations were sent to 1761 Insight Community Members. 896 members completed the survey which represents a completion rate of 51%. A total of 928 respondents completed the survey: 896 Insight Community Members and 32 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Stanley A Milner Library - Edmonton Insight Community,2,"This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Parks - Edmonton Insight Community,2,"This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Seniors Transportation - Edmonton Insight Community,2,"This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Downtown - Edmonton Insight Community,2,"This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Development Notif Letters - Edmonton Insight Community,2,"This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Holiday Lights - Edmonton Insight Community,2,"This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
City Service Satisfaction - Edmonton Insight Community,2,"This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Zoo Development - Edmonton Insight Community,2,"This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Pet  Licenses by Neighbourhood,4,"Distribution of various licensed pets (cats, dogs, pigeons) by neighbourhood","edmonton, city, developer, 's, data, dataset"
Accessibility and Disabled Parking - Edmonton Insight Community,2,"This was one single topic among many as part of the January Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=185&t=1. Open from January 11 - 20, 2015. At the time the survey was launched survey invitations were sent to 2159 Insight Community Members. 1070 members completed the survey which represents a completion rate of 50%. A total of 1178 respondents completed the survey: 1070 Insight Community Members and 108 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
General Building Permits,4,"List of issued building permits from the City of Edmonton - Sustainable Development Department for the public to do construction or maintenance on a structure located in the City. Note - All records start from January 1, 2009.","edmonton, city, developer, 's, data, dataset"
Licensed Cabs ID And Safety - Edmonton Insight Community,2,"This was one single topic among many as part of the January Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=185&t=1. Open from January 11 - 20, 2015. At the time the survey was launched survey invitations were sent to 2159 Insight Community Members. 1070 members completed the survey which represents a completion rate of 50%. A total of 1178 respondents completed the survey: 1070 Insight Community Members and 108 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
"""You're gonna love green"" Awareness - Edmonton Insight Community",2,"This was one single topic among many as part of the January Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=185&t=1. Open from January 11 - 20, 2015. At the time the survey was launched survey invitations were sent to 2159 Insight Community Members. 1070 members completed the survey which represents a completion rate of 50%. A total of 1178 respondents completed the survey: 1070 Insight Community Members and 108 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
City Of Edmonton Bylaws February 2015 - Edmonton Insight Community,2,"This was one single topic among many as part of the February Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=193&t=1. Open from February 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2302 Insight Community Members. 1021 members completed the survey which represents a completion rate of 44%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Property Assessment February 2015 - Edmonton Insight Community,2,"This was one single topic among many as part of the February Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=193&t=1. Open from February 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2302 Insight Community Members. 1021 members completed the survey which represents a completion rate of 44%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
24 Hour Storm Severity Ratings,7,"Rainfall is measured to assess storms and their effects on flooding and sewer performance and design. Rainfall location color icons indicate rainfall totals and maximum storm rating during the past 24 hours. Data is sent once 2mm is accumulated in each gauge, so timing will vary.

Website is updated every 15 minutes . Higher storm ratings and rainfall totals may have occurred if a storm lasts more than 24h. Storm ratings and rainfall are based on data at the gauge location only - nearby areas may experience differing conditions due to variability of rainstorms. Rainfall is measured between May and October; snowfall is not measured.","measures, graffiti, rainfall, performance, performance, perceptions"
VACANT LAND - INDUSTRIAL,4,"""This inventory is a snapshot in time of vacant industrial land in Edmonton using data collected from December 2014. This is a dataset using centroid points to geolocate vacant industrial land parcels in the city.   The data was generated by extracting vacant industrial land data from the City of Edmonton’s Tax Assessment Control System and provides a summary of vacant industrial land in Edmonton’s industrial areas . Explanations of zoning and land use classifications applicable in the industrial areas are given at the following site: http://webdocs.edmonton.ca/InfraPlan/zoningbylaw/bylaw_12800.htm   

A vacant lot is classified as a registered lot (serviced or unserviced) that contains no permanent or temporary structures or developments at the time of inspection.

The City of Edmonton provides this information in good faith. While every effort has been made to ensure the accuracy of information contained in this report, the City of Edmonton provides no warranty, express or implied, regarding the accuracy, completeness or correctness of information contained herein. The City of Edmonton disclaims any liability for the use of this information. No part of this material may be reproduced, in whole or in part, without acknowledgement.""","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Business Licenses,1,List of establishments that have a valid business licence to operate in the City of Edmonton,"list, edmonton, schools, fields, city, fields"
Stormwater Lakes,4,A location of all stormwater lakes found in the City,"edmonton, city, developer, 's, data, dataset"
Exercise Habits - Edmonton Insight Community,2,"This was one single topic among many as part of the March Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=219&t=1. Open from March 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2351 Insight Community Members. 1137 members completed the survey which represents a completion rate of 48%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Bylaws - March 2015 - Edmonton Insight Community,2,"This was one single topic among many as part of the March Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=219&t=1. Open from March 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2351 Insight Community Members. 1137 members completed the survey which represents a completion rate of 48%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Herbicide Use - Edmonton Insight Community,2,"This was one single topic among many as part of the March Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=219&t=1. Open from March 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2351 Insight Community Members. 1137 members completed the survey which represents a completion rate of 48%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Follow-up on Development Permit Notification Letters - Edmonton Insight Community,2,"This was one single topic among many as part of the April Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=254&t=1. Open from April 14 - 22, 2015. At the time the survey was launched survey invitations were sent to *** Insight Community Members. 947 members completed the survey which represents a completion rate of 41%. A total of 979 respondents completed the survey: 947 Insight Community Members and 32 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Physical Literacy - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. At the time the survey was launched survey invitations were sent to 2709 Insight Community Members. 832 members completed the survey which represents a completion rate of 31%. A total of 916 respondents completed the survey: 832 Insight Community Members and 84 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Whyte Ave Programmable Space - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. At the time the survey was launched survey invitations were sent to 2,709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Waste Management Services - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. At the time the survey was launched survey invitations were sent to 2,709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Red Bull Crashed Ice - Edmonton Insight Community,2,"This was one single topic among many as part of the April Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=254&t=1. Open from April 14 - 22, 2015. At the time the survey was launched survey invitations were sent to 2592 Insight Community Members. 947 members completed the survey which represents a completion rate of 36.5%. A total of 979 respondents completed the survey: 947 Insight Community Members and 32 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Pet Ownership - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. . At the time the survey was launched survey invitations were sent to 2709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
Edmonton Air Quality - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. At the time the survey was launched survey invitations were sent to 2709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
New Edmonton Civic Tower - Integrated Service Centre - Edmonton Insight Community,2,"This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. . At the time the survey was launched survey invitations were sent to 2709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
2013 Monthly KM's Driven By Asset Class And Department,4,Number of kilometers driven by fleet vehicles per month and department for 2013. The KM's driven data excludes all external clients (AHS and EPCOR) as well as ME4000 (self propelled equipment).,"edmonton, city, developer, 's, data, dataset"
2012 Monthly KM's Driven By Asset Class And Department,4,Number of kilometers driven by fleet vehicles per month and department for 2012. The KM's driven data excludes all external clients (AHS and EPCOR) as well as ME4000 (self propelled equipment).,"edmonton, city, developer, 's, data, dataset"
Storm Water Lakes - Map (Polygon),4,"The location and boundaries of Stormwater Lakes in the City of Edmonton.

The City of Edmonton provides this information based on the records retained by the City of Edmonton with respect to the matters.  The City of Edmonton provides no warranty or representation as to whether the information is correct, accurate or free from error and whether it is otherwise suitable for your use or purpose.","edmonton, city, developer, 's, data, dataset"
Real Time Trip Updates GTFS (PB File),4,"Near real-time transit trip updates represents the updated transit stop arrival and/or departure times for a bus operating on a transit route.  
 
ETS has made this real-time dataset available to developers, to promote the use of transit and information related to transit.

Real-time information is updated every 30 seconds.  The latency delay may be as long as 60 seconds.","edmonton, city, developer, 's, data, dataset"
Vacant Land Inventory,4,"This is a dataset using centroid points to geolocate vacant land in the city. This inventory is a snapshot in time using data collected from May 2014. The data is based on the land inventory and provides a summary of vacant land in Edmonton’s central core, established, and mature neighbourhoods at the time of analysis. A vacant lot is classified as “a registered lot (serviced or unserviced) that contains no permanent structures at the time of inspection. It generally does not include land developed for parks, transportation or utility purposes.

The City of Edmonton provides this information in good faith. While every effort has been made to ensure the accuracy of information contained in this report, the City of Edmonton provides no warranty, express or implied, regarding the accuracy, completeness or correctness of information contained herein.  The City of Edmonton disclaims any liability for the use of this information.  No part of this material may be reproduced, in whole or in part, without acknowledgement.","edmonton, city, developer, 's, data, dataset"
Recreation Facilities Drop - In Programs (14 day),11,"Recreation Facilities Drop - In Programs (14 day)
Recreation Facilities Drop - In Programs (14 day)
Recreation Facilities Drop - In Programs (14 day)
Recreation Facilities Drop - In Programs (14 day)","recreation, facilities, facilities, data, class, data"
Recreational Facility -  Event Schedule,11,Information about various events that are to occur at a particular Recreational Facility. Data is extracted from CLASS.,"recreation, facilities, facilities, data, class, data"
Recreational Facility -  Drop In Swim (Detail),11,Detail Information about a swimming activity that has been scheduled at a particular recreational facility. Data is extracted from CLASS.,"recreation, facilities, facilities, data, class, data"
Recreational Facilities - Drop In Swim,11,Basic Information about a swimming activity that has been scheduled at a particular recreational facility. Data is extracted from CLASS.,"recreation, facilities, facilities, data, class, data"
Recreational Facility - Drop In Fitness,11,Information about a fitness activity that has been scheduled at a particular recreational facility. Data is extracted from CLASS.,"recreation, facilities, facilities, data, class, data"
"Recreational Facility - Programs, Courses and Camps",11,"A comprehensive list of all courses, programs and camps to be offered at a City recreational facility. Data is extracted from CLASS.","recreation, facilities, facilities, data, class, data"
2014 Monthly KM's Driven By Asset Class And Department,4,Number of kilometers driven by fleet vehicles per month and department for 2014. The KM's driven data excludes all external clients (AHS and EPCOR) as well as ME4000 (self propelled equipment).,"edmonton, city, developer, 's, data, dataset"
Datasets Published By Year,4,This shows the historical data for number of datasets published on the City of Edmonton's Open Data Catalogue.,"edmonton, city, developer, 's, data, dataset"
Real Time Vehicle Position GTFS (PB File),4,"The near real-time transit bus location.
 
ETS has made this real-time dataset available to developers, to promote the use of transit and information related to transit.

Note - Real-time information is updated every 30 seconds.  The latency delay may be as long as 60 seconds.","edmonton, city, developer, 's, data, dataset"
2012-2014 Graffiti Audit,7,"In 2010, Capital City Clean Up initiated a Graffiti Vandalism Audit to assess the amount of graffiti vandalism found in the neighbourhoods in Edmonton with the highest reported incidences of graffiti.  A follow-up audit was completed in the following years to determine if there were significant changes to the amount of graffiti found.  This data set is result of  2012, 2013 and 2014 Graffiti Vandalism Audits. You can see the 2014 report at: http://www.edmonton.ca/programs_services/documents/2014GraffitiVandalismAuditReport.pdf","measures, graffiti, rainfall, performance, performance, perceptions"
Residential Street Cleaning Schedule,1,A list of all City of Edmonton transportation maintenance areas and the date on which each is scheduled for residential street cleaning. Does NOT include arterials or major routes.,"list, edmonton, schools, fields, city, fields"
City of Edmonton/NAIT Solar Panel Reference System - Per Module Energy Production,4,"The reference system consists of six PV modules arranged at fixed angles on the roof of the Shaw Theatre at NAIT’s Main Campus, near the corner of Princess Elizabeth Avenue and 106 Street. The angles correspond to those typically used for solar installations in Edmonton. Each of the six modules is paired with a duplicate module placed at exactly the same angle. During the winter months, snow will be cleared from the left side of the modules. By pairing modules at exactly the same angles, researchers will be able to compare the effect of snow clearing versus snow cover on energy production. The degree angle of rows are 90, 53, 45, 27, 18, 14 degrees. You can find the actual picture at the ""About"" tab. In the dataset column name, 90_LEFT means the left panel and 90 degree angle and so on.

 The City is not the owner of this data, it is provided to us and owned by NAIT","edmonton, city, developer, 's, data, dataset"
City of Edmonton/NAIT Solar Panel Reference System,4,"The reference system consists of six PV modules arranged at fixed angles on the roof of the Shaw Theatre at NAIT’s Main Campus, near the corner of Princess Elizabeth Avenue and 106 Street. The angles correspond to those typically used for solar installations in Edmonton. Each of the six modules is paired with a duplicate module placed at exactly the same angle. During the winter months, snow will be cleared from the left side of the modules. By pairing modules at exactly the same angles, researchers will be able to compare the effect of snow clearing versus snow cover on energy production.

The degree angle of rows are 90, 53, 45, 27, 18, 14 degree. You can find the actual picture at the ""About"" tab. In the dataset column name, 90_LEFT means the left panel and 90 degree angle and so on.

The City is not the owner of this data, it is provided to us and owned by NAIT","edmonton, city, developer, 's, data, dataset"
Most Popular Books by Branch – Edmonton Public Library,4,"A snapshot of the top ten books with the highest number of holds at Edmonton Public Library, each week from 9 AM Monday to 9 AM Monday, organized by customer home library branch. See Public Libraries dataset for branch data - https://data.edmonton.ca/Community-Centres/Public-Libraries/jn25-zspi)","edmonton, city, developer, 's, data, dataset"
ETS Bus Schedule GTFS Data Feed - Calendar,12,"This dataset defines dates for service IDs using a weekly schedule for Edmonton. It also specifies when service starts and ends, as well as days of the week where service is available.","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
ETS Bus Schedule GTFS Data Feed - Routes,1,List of all bus routes in Edmonton,"list, edmonton, schools, fields, city, fields"
Fire Stations,4,"Location of fire stations throughout Edmonton. Also, data set identifies whether there is an emergency medical response unit associated with the fire station.","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Boundary History,4,History of changes of Edmonton's municipal  boundaries since 1892. A GeoJson File is provided as an attachment,"edmonton, city, developer, 's, data, dataset"
311 Call Centre Satisfaction Survey 2014,12,"The 311 Call Centre Satisfaction Study is a random telephone survey asking citizen’s opinions of the 311 service in order to measure current performance, track progress and identify any areas for service improvement.","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
Residential Snow Clearing Schedule,1,A list of all City of Edmonton transportation maintenance areas and the date on which each is scheduled for residential snow clearing.  Does NOT include arterials or major routes.,"list, edmonton, schools, fields, city, fields"
Sports Fields - Map View (Polygon),1,Spatial view of sports fields in Edmonton - polygon format,"list, edmonton, schools, fields, city, fields"
Basketball - Map View (Polygons),1,Spatial Display of all basketball courts in Edmonton - polygon format,"list, edmonton, schools, fields, city, fields"
Major Attractions - Map View (Polygon),4,Spatial view of all major attraction facilities owned by the City of Edmonton,"edmonton, city, developer, 's, data, dataset"
Recreation Centres - Map View (Polygon),4,Spatial view of all recreational centres owned by the City of Edmonton,"edmonton, city, developer, 's, data, dataset"
Arenas - Map View (Polygon),4,Spatial view of ice arenas maintained by the City of Edmonton,"edmonton, city, developer, 's, data, dataset"
Outdoor Swimming Pools - Map View (Polygon),1,Spatial List of all outdoor swimming pools in Edmonton - polygons,"list, edmonton, schools, fields, city, fields"
Ball Diamonds - Map View (Polygon),1,Spatial Display of all baseball diamonds in Edmonton - polygon format,"list, edmonton, schools, fields, city, fields"
2013-2017 Council And Committee Meetings - Agenda Items,9,"Lists the Agenda Items for Council and Committee meetings.  The agenda is usually published on the Thursday prior to the meeting.  Statutory Public Hearings (Land Use) agendas are available 3 weeks prior to the meeting.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2013-2017 Council And Committee Meetings - Motions,9,"Lists any Motions (also known as ‘Resolutions’) or Councillor Inquiries made during the meeting. 
Motions of Council require a mover and seconder; Motions of Committee only require a mover.
Councillor Inquiries do not require a Mover nor is a vote taken.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2013-2017 Council And Committee Meetings - Voting Record,9,"Detailed Voting Record of each motion made at Council or selected Committee meetings (see attachment below for details). Members of Council or the Committee will be shown as voting ‘in favour’ ‘opposed’ or ‘absent’. While Councillors are allowed to abstain from voting, this can only happen under exceptional circumstances (the Councillor must have a pecuniary interest in the matter). Therefore, it is very unlikely to see an ‘abstention’ noted.
(While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2013-2017 Council And Committee Meetings - Meeting Details,9,"List of Council-approved meetings of Edmonton City Council and related Committees of Council.  The list includes the date, time and location of each meeting.  (Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
Top 100 Mid- Block Collision Locations (2012-2013),10,"List of Top 100 Mid-block Collision Locations in Edmonton for the years 2012-2013. This file contains information about those mid-blocks in Edmonton , with a breakdown of collisions by the standard list of causes used in reporting.

Collision information is provided by the Motor Vehicle Collision Information System (MVCIS), maintained by the City of Edmonton Office of Traffic Safety. This system tracks police-reported collisions involving at least one motor vehicle that occur on public roadways and which result in property damage of $1,000 or more, as well as any collisions resulting in injury or fatality. 

This file is meant as a companion piece to the Annual Collision Report, produced by the City of Edmonton Office of Traffic Safety. Please refer to the full report for more information on collisions in Edmonton, and definitions of the collision causes and injury types used in this file.","collisions, reporting, outline, annual, open, injuries"
