title,cluster,description,keywords
"Unincorporated King County Population, 2000 - 2010",8,"Unincorporated King County Population, 2010 U.S. Census; Source: US Census 2010, PL94-171 redistricting file, February 2011","census, u.s., u.s., redistricting, sources, sources"
"Total King County Housing, 2000 - 2010",8,"King County Housing, 2010 U.S. Census; Source: US Census 2010, PL94-171 redistricting file, February 2011","census, u.s., u.s., redistricting, sources, sources"
"2010 U.S. Census Population Counts, King County and its Cities, April 1, 2010",8,"Source:  U.S. Census Bureau, PL 94-171 Redistricting data, 2000 and 2010. Note: Census numbers for the cities of Burien and Kent do not include annexations that took place after March 31, 2010.  These annexations would increase Burien to 48,072, Kent to 118,565, and decrease uninc King County to 284,089.","census, u.s., u.s., redistricting, sources, sources"
King County Metro,14,King County Metro's data is at http://www.kingcounty.gov/transportation/kcdot/MetroTransit/Developers.aspx,"county, king, king, program, area, locations"
Assessor,14,King County Assessor's data is at http://info.kingcounty.gov/assessor/DataDownload/,"county, king, king, program, area, locations"
GIS,14,King County GIS data is at http://www5.kingcounty.gov/gisdataportal/,"county, king, king, program, area, locations"
"Election results - February 8, 2011 special",13,"Detailed results for February 8, 2011 special Election.  Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","february, february, february, results, results, special"
"Election results - November 4, 2008 General  - Cumulative",4,"Detailed cumulative results for November 4, 2008 General Election. Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - November 4, 2008 General - Absentee",4,"Detailed absentee canvass results for November 4, 2008 general election. Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - May 20, 2008 special",4,"Detailed results for May 20, 2008 special elections.
Tutorial available here: http://kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - February 3, 2009 special",13,"Detailed results for February 3, 2009 special election.  Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","february, february, february, results, results, special"
"Election results - March 10, 2009 special",4,"Detailed results for March 10, 2009 special.  Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - February 9, 2010 special",13,"Detailed results for February 9, 2010 special election.  Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","february, february, february, results, results, special"
"Election results - November 3, 2009 General",4,"Detailed results for November 3, 2009 General Election.  Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - April 27, 2010 Special",4,"Detailed results for April 27, 2010 Special Election. Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - State Senator Legislative District 41 recount - Nov. 2, 2010 General",4,"Ecanvass dataset for the State Senator Legislative District 41 recount in the November 2, 2010 General Election.
Tutorial available here: http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
"Election results - November 2, 2010 General Election",4,"Detailed results for November 2, 2010 General Election.
Tutorial available here:
http://www.kingcounty.gov/elections/results/opendatatutorial.aspx","tutorial, available, tutorial, tutorial, available, available"
King County buildings,14,Address information and links to further information only.,"county, king, king, program, area, locations"
"2011 Non-General Fund, proposed revenues, 2011 budget",15,"King County 2011 budget, proposed revenues outside the general fund","general, fund, budget, general, county, king"
"2011 Non-General Fund, proposed expenditures, 2011 budget",15,"King County 2011 budget, proposed expenditures outside the general fund. More at http://www.kingcounty.gov/budget","general, fund, budget, general, county, king"
"2011 General Fund, proposed revenues, 2011 budget",15,"King County 2011 budget, proposed revenues within the general fund","general, fund, budget, general, county, king"
Election results - Aug. 2010 primary election,0,Complete results for the King County Aug. 2010 primary election,"primary, primary, candidate, elections, completed, filing"
Non-General Fund Revenues 2010,15,King County 2010 budget revenues outside the general fund,"general, fund, budget, general, county, king"
Non-General Fund Expenditures 2010,15,King County 2010 Budget Expenditures outside the General Fund,"general, fund, budget, general, county, king"
General Fund Revenues 2010,15,King County 2010 Budget General Fund Revenues,"general, fund, budget, general, county, king"
General Fund Expenditures 2010,15,King County 2010 Budget General Fund Expenditures,"general, fund, budget, general, county, king"
Election Results - Aug 2009 Primary,0,Complete results for the Aug 2009 Primary election.,"primary, primary, candidate, elections, completed, filing"
